"sample_type","comm_name","species","tissue","type"
"Sea Mussel, wild","Sea mussel","Mytilus californianus","not specified","wild"
"Bay Mussel, cultured","Bay mussel","Mytilus galloprovincialis","not specified","cultured"
"Bay Mussel, wild","Bay mussel","Mytilus galloprovincialis","not specified","wild"
"Mixed Sea/Bay Mussels","Mussel spp.","Mytilus spp.","not specified","not specified"
"Northern Anchovy","Northern anchovy","Engraulis mordax","not specified","not specified"
"Sardine, whole","Sardine","Sardinops sagax","whole","not specified"
"Pacific Oyster, cultured","Pacific oyster","Crassostrea gigas","not specified","cultured"
"Sea Mussel, Sentinel","Sea mussel","Mytilus californianus","not specified","sentinel"
"Washington Clam, siphon","Washington clam","Saxidomus nuttalli","siphon","not specified"
"Washington Clam, viscera","Washington clam","Saxidomus nuttalli","viscera","not specified"
"Bay Mussel, Sentinel","Bay mussel","Mytilus galloprovincialis","not specified","sentinel"
"Littleneck Clam","Littleneck clam","Leukoma staminea","not specified","not specified"
"Lobster, Spiny, viscera","Spiny lobster","Panulirus interruptus","viscera","not specified"
"Rock Scallop adductor","Rock scallop","Crassadoma gigantea","adductor","not specified"
"Rock Scallop viscera","Rock scallop","Crassadoma gigantea","viscera","not specified"
"Clam, unidentified","Clam spp.","Clam spp.","not specified","not specified"
"Salmon, meat","Salmon","Oncorhynchus spp.","meat","not specified"
"Salmon, liver","Salmon","Oncorhynchus spp.","liver","not specified"
"Salmon, viscera","Salmon","Oncorhynchus spp.","viscera","not specified"
"Ray, Thornback, meat","Thornback ray","Raja clavata","meat","not specified"
"Ray, Thornback, viscera","Thornback ray","Raja clavata","viscera","not specified"
"Grunion, whole","Grunion","Leuresthes spp.","whole","not specified"
"Gooseneck Barnacle","Gooseneck barnacle","Pollicipes polymerus","not specified","not specified"
"Pismo Clam muscle","Pismo clam","Tivela stultorum","muscle","not specified"
"Pismo Clam viscera","Pismo clam","Tivela stultorum","viscera","not specified"
"Rock Scallop, wild","Rock scallop","Crassadoma gigantea","not specified","wild"
"Lobster, Spiny, muscle","Spiny lobster","Panulirus interruptus","muscle","not specified"
"Washington Clam","Washington clam","Saxidomus nuttalli","not specified","not specified"
"Gaper Clam","Gaper clam","Tresus nuttallii","not specified","not specified"
"Basket Cockle","Basket cockle","Clinocardium nuttallii","not specified","not specified"
"Clam, razor","Razor clam","Siliqua patula","not specified","not specified"
"Sea Otter Stomach Contents","Sea otter","Enhydra lutris","stomach contents","not specified"
"Pismo Clam","Pismo clam","Tivela stultorum","not specified","not specified"
"Razor Clam meat","Razor clam","Siliqua patula","meat","not specified"
"Gaper Clam siphon","Gaper clam","Tresus nuttallii","siphon","not specified"
"Gaper Clam viscera","Gaper clam","Tresus nuttallii","viscera","not specified"
"Matrix spike, mussel","Mussel spp.","Mytilus spp.","matrix spike","not specified"
"Rock Scallop mantle, gills","Rock scallop","Crassadoma gigantea","mantle/gills","not specified"
"Sardine","Sardine","Sardinops sagax","not specified","not specified"
"Mackerel","Mackerel","Scombridae spp.","not specified","not specified"
"Lobster, Spiny, roe","Spiny lobster","Panulirus interruptus","roe","not specified"
"Razor Clam viscera","Razor clam","Siliqua patula","viscera","not specified"
"Surfperch, Barred, Meat","Barred surfperch","Amphistichus argenteus","meat","not specified"
"Surfperch, Barred, Viscera","Barred surfperch","Amphistichus argenteus","viscera","not specified"
"Abalone, red","Red abalone","Haliotis rufescens","not specified","not specified"
"Surfperch, Black, Meat","Black surfperch","Embiotoca jacksoni","meat","not specified"
"Surfperch, Black, Viscera","Black surfperch","Embiotoca jacksoni","viscera","not specified"
"Surfperch, Pile, Meat","Pile surfperch","Rhacochilus vacca","meat","not specified"
"Surfperch, Pile, Viscera","Pile surfperch","Rhacochilus vacca","viscera","not specified"
"Surfperch, Shiner, Meat","Shiner surfperch","Cymatogaster aggregata","meat","not specified"
"Surfperch, Shiner, Viscera","Shiner surfperch","Cymatogaster aggregata","viscera","not specified"
"Northern Anchovy, head","Northern anchovy","Engraulis mordax","head","not specified"
"Northern Anchovy, meat","Northern anchovy","Engraulis mordax","meat","not specified"
"Northern Anchovy, viscera","Northern anchovy","Engraulis mordax","viscera","not specified"
"Sardine, head","Sardine","Sardinops sagax","head","not specified"
"Sardine, muscle","Sardine","Sardinops sagax","muscle","not specified"
"Sardine, viscera","Sardine","Sardinops sagax","viscera","not specified"
"Mackerel, muscle","Mackerel","Scombridae spp.","muscle","not specified"
"Mackerel, viscera","Mackerel","Scombridae spp.","viscera","not specified"
"Abalone, red viscera","Red abalone","Haliotis rufescens","viscera","not specified"
"Manila Clam","Manila clam","Venerupis philippinarum","not specified","not specified"
"California Yellowtail, meat","California yellowtail","Seriola lalandi","meat","not specified"
"Lamprey, Pacific, meat","Pacific lamprey","Entosphenus tridentatus","meat","not specified"
"Washington Clam, meat","Washington clam","Saxidomus nuttalli","meat","not specified"
"Gaper Clam meat","Gaper clam","Tresus nuttallii","meat","not specified"
"Mackerel, whole","Mackerel","Scombridae spp.","whole","not specified"
"Cultured Rock Scallop,adductor","Rock scallop","Crassadoma gigantea","adductor","cultured"
"Cultured Rock Scallop, viscera","Rock scallop","Crassadoma gigantea","viscera","cultured"
"Squid","Squid","Doryteuthis opalescens","not specified","not specified"
"Kumamoto Oyster, cultured","Kumamoto oyster","Crassostrea sikamea","not specified","cultured"
"Butter Clam","Butter clam","Saxidomus giganteus","not specified","not specified"
"Crab, Red Rock, viscera","Red rock crab","Cancer productus","viscera","not specified"
"Crab, Dungeness, viscera","Dungeness crab","Metacarcinus magister","viscera","not specified"
"Crab, Spider, viscera","Spider crab","Loxorhynchus grandis","viscera","not specified"
"Crab, Brown Rock, viscera","Brown rock crab","Romaleon antennarius","viscera","not specified"
"Crab, Pelagic Red","Pelagic red crab","Pleuroncodes planipes","not specified","not specified"
"Pelagic Red Crab, tail","Pelagic red crab","Pleuroncodes planipes","tail","not specified"
"Pelagic Red Crab, head","Pelagic red crab","Pleuroncodes planipes","head","not specified"
"Crab, Red Rock","Red rock crab","Cancer productus","not specified","not specified"
"Crab, unknown rock, viscera","Rock crab","Rock crab spp.","viscera","not specified"
"Crab, Yellow Rock, viscera","Yellow rock crab","Metacarcinus anthonyii","viscera","not specified"
"Crab, Red Rock, body meat","Red rock crab","Cancer productus","body meat","not specified"
"Crab, Red Rock, leg meat","Red rock crab","Cancer productus","leg meat","not specified"
"Crab, Yellow Rock, body meat","Yellow rock crab","Metacarcinus anthonyii","body meat","not specified"
"Crab, Yellow Rock, leg meat","Yellow rock crab","Metacarcinus anthonyii","leg meat","not specified"
"Crab, Brown Rock, body meat","Brown rock crab","Romaleon antennarius","body meat","not specified"
"Crab, Brown Rock, leg meat","Brown rock crab","Romaleon antennarius","leg meat","not specified"
"Crab, Dungeness, body meat","Dungeness crab","Metacarcinus magister","body meat","not specified"
"Crab, Dungeness, leg meat","Dungeness crab","Metacarcinus magister","leg meat","not specified"
"Crab, unknown rock, body meat","Rock crab","Rock crab spp.","body meat","not specified"
"Crab, Stone, viscera","Stone crab","Unknown","viscera","not specified"
"Crab, Swimming","Swimming crab","Portunus xantusii","not specified","not specified"
