"comm_name","sci_name","comm_name_orig","n"
"Dungeness crab","Metacarcinus magister","Bay crab, Crab, Dungeness crab, Ocean crab",2661
"California mussel","Mytilus californianus","California blue mussels, California mussels, Mussels",1723
"Razor clam","Siliqua patula","Mini razors, Razor clams",658
"Purple varnish clam","Nuttallia obscurata","Asian clams, Asian varnish clams, Purple varnish clams, Varnish clams",46
"Eastern softshell clam","Mya arenaria","Eastern softshell clams, Eastern thinshell clams, Eastern thinshell mussels, Softshell clams, Thinshell clams",40
"Cockle clam","Clinocardium nuttallii","Cockle clams, Cockles",20
"Bay clam spp.",NA,"Bay clams, Clams",11
"Pacific oyster","Crassostrea gigas","Oysters",9
"Gaper clam","Tresus capax","Gaper clams, Oregon gaper clams",8
"Butter clam","Saxidomus gigantea","Butter mussels",3
"Bay mussel","Mytilus edulis","Bay mussels",1
"Mussel spp. (tsunami debris)",NA,"Tsunami debris mussels",1
"Native littleneck clam","Leukoma staminea","Littleneck clams",1
"Unknown",NA,"Unknown",1
