"year","filename","sheetname","nobs"
2002,"Rec Closure log 2002-2011.xlsx","2002",91
2003,"Rec Closure log 2002-2011.xlsx","2003",53
2004,"Rec Closure log 2002-2011.xlsx","2004",59
2005,"Rec Closure log 2002-2011.xlsx","2005",52
2006,"Rec Closure log 2002-2011.xlsx","2006",60
2007,"Rec Closure log 2002-2011.xlsx","2007",40
2008,"Rec Closure log 2002-2011.xlsx","2008",45
2009,"Rec Closure log 2002-2011.xlsx","2009",26
2010,"Rec Closure log 2002-2011.xlsx","2010",66
2011,"Rec Closure log 2002-2011.xlsx","2011",39
2012,"Rec Closure log 2012.xlsx","2012",98
2013,"Rec Closure log 2013.xlsx","2013",57
2015,"Rec Closure log 2015.xlsx","Sheet1",123
2016,"Rec Closure log 2016.xlsx","Sheet1",91
2017,"Rec Closure log 2017.xlsx","Sheet1",145
2018,"Rec Closure log 2018.xlsx","Sheet1",139
2019,"Rec Closure log 2019.xlsx","2019",115
2020,"Rec Closure log 2020.xlsx","2020",122
