"species_label","n_tot","n_da","n_psp","n_dsp"
"Razor clam (Siliqua patula)",12963,5197,3883,3883
"California mussel (Mytilus californianus)",7445,2425,2510,2510
"Pacific oyster (Crassostrea gigas)",3180,62,1559,1559
"Dungeness crab (Metacarcinus magister)",1731,1731,0,0
"Blue mussel (Mytilus trossulus)",1055,343,356,356
"Manila clam (Ruditapes philippinarum)",234,18,108,108
"Littleneck clam (Leukoma staminea)",32,10,11,11
"Horse clam (Tresus capax)",22,6,8,8
"Barnacle (Barnacle spp.)",9,3,3,3
"Butter clam (Saxidomus gigantea)",7,1,3,3
"Other (Unknown)",4,4,0,0
"Cockle (Clinocardium nuttallii)",2,0,1,1
"Olympia oyster (Ostrea lurida)",2,0,1,1
